ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
380,Yugorsk,100,RU,1562532681,94,61.32,63.33,8.63,1.48
381,Mackenzie,75,CA,1562532681,47,55.34,-123.09,24,4.6
382,Langenhagen,20,DE,1562532681,71,52.44,9.74,14,2.1
383,Honiara,75,SB,1562532681,100,-9.43,159.96,23,5.33
384,Romny,100,UA,1562532682,93,50.74,33.49,16.43,2.54
385,Egvekinot,52,RU,1562532573,40,66.32,-179.17,18.19,2.05
386,Shieli,1,KZ,1562532682,15,44.18,66.74,29.3,4.56
387,Ayia Galini,0,GR,1562532682,65,35.1,24.68,28,5.1
388,San Quintin,100,PH,1562532682,91,17.54,120.52,23.23,1.54
389,Boguszow-Gorce,0,PL,1562532682,51,50.76,16.2,15,3.6
390,Praia da Vitoria,40,PT,1562532683,88,38.73,-27.07,23,8.34
391,Enshi,100,CN,1562532683,95,30.29,109.48,16.41,1.51
392,Teguise,40,ES,1562532683,78,29.06,-13.56,22,7.2
393,Chiang Kham,20,TH,1562532683,88,19.53,100.3,25,1
394,Nikolskoye,44,RU,1562532683,67,59.7,30.79,14,1
395,Beisfjord,20,NO,1562532684,72,68.38,17.6,15,6.2
396,Bushehr,0,IR,1562532684,37,28.97,50.84,36,2.1
397,Nome,40,US,1562532684,53,30.04,-94.42,35.56,2.14
398,Meulaboh,100,ID,1562532684,74,4.14,96.13,27.8,2.8
399,Kybartai,40,LT,1562532685,98,54.64,22.75,10.23,2.65
400,Lena,40,US,1562532695,61,42.38,-89.82,28,4.1
401,Katsuura,75,JP,1562532695,88,33.93,134.5,22,1.5
402,Baruun-Urt,99,MN,1562532695,72,46.68,113.28,14.51,2.47
403,Beira,40,ES,1562532695,82,43.2,-8.36,19.44,4.6
404,Wadi Musa,0,JO,1562532580,55,30.32,35.48,21.63,1.25
405,Bhatgaon,100,IN,1562532696,83,21.15,81.7,25.95,6.53
406,Pinheiro Machado,51,BR,1562532696,78,-31.58,-53.38,4.63,0.44
407,Ambon,0,FR,1562532696,77,47.55,-2.56,21.67,5.7
408,Rafaela,100,AR,1562532696,36,-31.25,-61.49,12.78,1.79
409,Mwinilunga,19,ZM,1562532696,39,-11.73,24.43,11.13,1.9
410,Port Hueneme,90,US,1562532697,77,34.15,-119.2,26.11,3.1
411,Panguna,100,PG,1562532697,86,-6.32,155.48,26.52,8.08
412,Ayagoz,100,KZ,1562532697,72,47.96,80.43,17.9,6
413,Minab,0,IR,1562532697,71,27.15,57.07,34,0.5
414,Vestmanna,4,FO,1562532697,93,62.16,-7.17,9,4.6
415,Leua,21,AO,1562532698,33,-11.65,20.45,13.24,2.74
416,Puerto Leguizamo,100,CO,1562532698,97,-0.19,-74.78,22.08,2.08
417,Batagay-Alyta,100,RU,1562532698,66,67.8,130.41,12.3,1.57
418,Westport,40,US,1562532639,54,41.14,-73.36,29.44,4.6
419,Calabozo,87,VE,1562532698,80,8.92,-67.43,28.97,1.55
420,Morehead,20,US,1562532699,58,38.18,-83.43,32,2.1
421,Marawi,47,PH,1562532699,95,8,124.29,23.89,1.79
422,Cabedelo,20,BR,1562532699,83,-6.97,-34.84,26,5.1
423,Syracuse,1,US,1562532407,50,43.05,-76.15,28.33,3.1
424,Winona,20,CA,1562532700,46,43.21,-79.65,26.67,7.2
425,Dumai,94,ID,1562532700,98,1.68,101.45,22.43,1.05
426,Umm Kaddadah,100,SD,1562532700,42,13.6,26.69,31.47,7.1
427,Izhma,73,RU,1562532700,68,65.01,53.91,11.04,2.92
428,Bure,88,NG,1562532700,88,10.52,10.33,23.31,3.29
429,Valdivia,90,CL,1562532701,87,-39.81,-73.25,13,6.7
430,Guarapari,75,BR,1562532667,60,-20.67,-40.5,21,9.3
431,Port Blair,100,IN,1562532701,81,11.67,92.75,28.82,8.63
432,Ventspils,20,LV,1562532701,93,57.39,21.56,14,4.1
433,Katangli,100,RU,1562532701,97,51.71,143.23,12.83,1.67
434,Nong Kung Si,40,TH,1562532702,78,16.65,103.3,26,2.1
435,Rehoboth,0,NA,1562532702,14,-23.31,17.08,9.68,2.87
436,Hammerfest,0,NO,1562532548,50,70.66,23.68,16,11.3
437,Bull Savanna,87,JM,1562532702,75,17.89,-77.59,28.79,10.93
438,Saquarema,40,BR,1562532702,56,-22.93,-42.51,20,6.2
439,Loreto,0,PY,1562532702,49,-23.27,-57.32,13.09,1.26
440,Simao,100,CN,1562532703,98,22.76,100.79,18.32,0.72
441,Libohove,0,AL,1562532703,69,40.03,20.26,27,1.13
442,Artyom,90,RU,1562532703,100,43.36,132.19,14,0.76
443,Moose Factory,20,CA,1562532703,36,51.26,-80.61,26,2.6
444,Bintulu,75,MY,1562532704,94,3.17,113.03,25,0.67
445,Gombe,55,NG,1562532704,74,10.28,11.16,26.74,7.4
446,Saraipali,100,IN,1562532704,82,21.32,83,26.05,5.74
447,Wajima,6,JP,1562532704,89,37.4,136.9,21.41,6.11
448,Kayerkan,20,RU,1562532704,87,69.35,87.76,8,11
449,Lac du Bonnet,0,CA,1562532705,27,50.25,-96.06,29.44,4.52
450,Nouadhibou,2,MR,1562532715,77,20.93,-17.03,21,9.3
451,Koumac,83,NC,1562532716,76,-20.56,164.28,20.97,4.34
452,Dongsheng,100,CN,1562532716,88,29.72,112.52,22.54,1.26
453,Vao,22,EE,1562532716,89,59.1,26.19,9.95,1.66
454,Jizan,0,SA,1562532717,56,16.89,42.56,34,3.6
455,Nantucket,1,US,1562532717,56,41.28,-70.1,23.33,2.1
456,Kastamonu,0,TR,1562532717,90,41.38,33.78,12.91,0.5
457,Frankfort,40,US,1562532718,58,38.2,-84.87,34,2.1
458,Xique-Xique,1,BR,1562532718,61,-10.82,-42.73,27.95,2.85
459,Shaowu,100,CN,1562532718,97,27.34,117.49,20.93,1.05
460,Richmond,90,CA,1562532650,82,49.16,-123.14,17.22,4.1
461,Muli,100,CN,1562532719,97,28.08,109.56,19.88,1.16
462,Kondinskoye,100,RU,1562532719,88,59.65,67.41,12.77,3.07
463,Margate,0,AU,1562532719,86,-43.03,147.26,5.56,6.7
464,Nueve de Julio,98,AR,1562532588,45,-31.67,-68.39,13.78,2.09
465,Savannah Bight,58,HN,1562532719,78,16.45,-85.85,28.55,6.92
466,Bydgoszcz,75,PL,1562532433,76,53.12,18,14.44,6.2
467,Kathmandu,90,NP,1562532662,100,27.71,85.32,22,1
468,Kjopsvik,20,NO,1562532720,72,68.1,16.37,15,6.2
469,Chiredzi,0,ZW,1562532720,20,-21.05,31.67,16.25,2.69
470,Narsaq,65,GL,1562532720,23,60.91,-46.05,17,16.5
471,Gympie,34,AU,1562532720,99,-26.2,152.66,11.11,0.45
472,Srivardhan,100,IN,1562532721,82,18.03,73.02,27.2,8.62
473,Donegal,100,IE,1562532721,76,54.65,-8.11,12.71,5.08
474,Veraval,0,FR,1562532721,82,49.65,0.71,17.78,2.6
475,Manokwari,33,ID,1562532650,63,-0.87,134.08,22.66,1.76
476,Roebourne,0,AU,1562532721,54,-20.77,117.15,18.22,2.62
477,Srednekolymsk,27,RU,1562532722,46,67.46,153.71,20.01,3.97
478,Shubarkuduk,0,KZ,1562532722,58,49.15,56.49,19.54,3.94
479,Schwarzenberg,20,DE,1562532722,51,49.27,12.9,17.78,1
480,Adrar,0,DZ,1562532722,8,27.87,-0.29,40,3.6
481,Tarakan,100,ID,1562532723,92,3.3,117.63,25.05,2.66
482,Lexington,40,US,1562532609,55,38.05,-84.5,33,2.6
483,Houma,100,CN,1562532723,62,35.63,111.36,21.24,5.24
484,Hukuntsi,0,BW,1562532723,21,-23.98,21.76,10.76,3.24
485,Herat,0,AF,1562532724,15,34.35,62.22,28,2.6
486,Codrington,90,AU,1562532724,93,-28.95,153.24,14,0.91
487,Kijang,75,KR,1562532724,73,35.24,129.21,21,2.6
488,Chanute,34,US,1562532724,62,37.68,-95.46,31.11,3.1
489,Shitanjing,100,CN,1562532724,29,39.23,106.34,22.22,13.61
490,Saint Anthony,1,US,1562532725,24,43.97,-111.68,28,7.2
491,Rorvik,20,NO,1562532725,81,64.86,11.24,12,4.1
492,Kargasok,99,RU,1562532725,87,59.06,80.87,13.96,4.99
493,Wamba,100,CD,1562532725,96,2.14,27.99,20.15,0.54
494,Altamont,1,CA,1562532725,39,49.4,-98.5,28.33,7.2
495,Flinders,90,AU,1562532726,71,-34.58,150.85,14,4.6
496,Algiers,40,US,1562532726,39,29.94,-90.04,37.22,4.6
497,Axim,34,GH,1562532726,86,4.87,-2.24,24.81,7.39
498,Sarab,17,IR,1562532726,70,38.61,44.99,12.83,2.35
499,Svelgen,40,NO,1562532726,76,61.77,5.3,15,8.2
500,Usinsk,0,RU,1562532737,71,66,57.56,9.94,6.21
501,Neuquen,0,AR,1562532545,66,-38.95,-68.06,10,1.5
502,Praia,0,BR,1562532737,36,-20.25,-43.81,24,2.6
503,Bonthe,100,SL,1562532737,85,7.53,-12.5,24.92,5.35
504,Mponela,0,MW,1562532737,71,-13.53,33.74,14.39,0.62
505,Moramanga,14,MG,1562532738,96,-18.95,48.23,13.67,0.43
506,Sao Jose da Coroa Grande,0,BR,1562532738,87,-8.9,-35.15,22.63,1.82
507,Khem Karan,0,IN,1562532738,66,31.14,74.56,32,3.6
508,Chizhou,79,CN,1562532738,74,30.67,117.49,20.84,0.6
509,Nisia Floresta,20,BR,1562532738,69,-6.09,-35.21,27,5.1
510,Najran,78,SA,1562532738,52,17.54,44.22,24.25,2.7
511,Tateyama,47,JP,1562532739,94,36.66,137.31,22.22,0.45
512,Ornskoldsvik,100,SE,1562532520,58,63.29,18.72,15,3.1
513,Haverhill,90,GB,1562532580,67,52.08,0.44,17,3.6
514,Le Port,100,FR,1562532739,76,42.87,1.37,23.89,1.34
515,Porto Novo,20,BR,1562532739,58,-23.68,-45.44,14,5.7
516,Atikokan,0,CA,1562532740,25,48.76,-91.62,27.7,3.03
517,Berlevag,20,NO,1562532740,93,70.86,29.09,9,5.1
518,Mandera,100,ET,1562532740,60,3.94,41.86,27.29,6.94
519,Diebougou,8,BF,1562532741,68,10.97,-3.25,27.29,3.12
520,Aklavik,75,CA,1562532741,66,68.22,-135.01,11,1.5
